Name,FTName,Soil,DescGrowSeason,CultivationGroup_RotationInfo,SunReq,TempClass,NutrientReq,PreferrPH,GenDesc,Sensitivities,WaterReq,PlantReq,OptGermTemp,DaysToGerm,PlantIdealTemp,LengthGorwingToHarvest,DiseaseMang,EnergyValue100gKcal,NutritInfo,PestsPathogens
Cranberry,Vaccinium corymbosum,Currently no data available.,Perennial,Miscellaneous,Full sun/partial shade,Hardy,Medium,5.0-6.0,"These evergreen dwarf shrubs, or trailing vines, have slender wiry stems.  The fruit are larger than the leaves, and are red when ripe.  Used for making juice, sauce and jam due to the acidic taste.  Cranberry sauce is traditionally served with turkey.",Currently no data available.,High,"Requires a soil pH of 5.5 or lower to thrive, and prefers to be very moist, boggy soil.  Can take up to 3 years to fruit, but can last for decades.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Fig,Ficus carica,All soil types,Perennial,Miscellaneous,Full sun/partial shade,Hardy,High,6.0-6.5,"A small tree/large shrub that produces soft sweet fruit that can be used fresh, dried and preserved.",Currently no data available.,Medium,"Requires warmth and sun. They thrive in long hot summers, but can also be grown in containers allowing them to be moved indoors over winter.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Gooseberry,Ribes grossularia,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"An easy to grow soft fruit.  The sometimes spiny, translucent fruits grow on small thorny bushes.  The varieties range in colour from yellow through to black.  Some are quite tart and more suited to cooking and preserving.",Currently no data available.,Medium,"Gooseberries thrive in cold winters and warm summers, and can tolerate a shaded space. They prefer a well drained soil containing plenty natural nutrients in the form of well rotted organic matter.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Grape,Vitis vinifera,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,This sweet versatile fruit grows in large clusters on a vine.  They are predominantly grown for eating fresh and making wine.,Currently no data available.,Medium,"The vines like deep free draining soil, and plenty summer sunshine for the fruits to ripen.  They require support to grow upwards.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Hazel,Corylus avellana,"Loamy, sandy",Perennial,Miscellaneous,Full sun/partial shade,Hardy,Medium,6.5-7.5,"A small tree or shrub grown for it's hard shelled nuts.  Is suited to growing in a garden, producing pretty catkins in the spring  and nuts in the autumn.",Currently no data available.,Medium,"Are best grown in temperate climates, as hazel trees cannot tolerate long dry seasons or high heat.  In the correct climate they are an easy nut to grow, not taking up too much space.  As they are wind pollinated, they prefer an open site.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Hops,Humulus lupulus,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,High,6.5-8.0,"Hops are the flowers, or seed cones used to flavour beer.  Hey are ready for harvest when the cones feel papery and leave a yellow powder when touched.  Different varieties taste different, allowing brewers to create particular flavours and aromas.",Currently no data available.,Medium,"Although hops are easy to grow, they are day length sensitive and best grown between 35 and 55 degree latitudes.  They require a period of winter chilling. Prune all growth in late autumn to early winter.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Kiwi,Actinidia callosa,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,5.5-7.0,"A deciduous climbing plant that's vigorous growth requires plenty of room.  The fruits have a light brown textured skin, with lime green flesh on the inside. They are high in vitamin C and generally eaten raw.",Currently no data available.,Medium,"Young shoots are extremely vulnerable to frost damage and will require protection in the spring.  In mild climates these can be grown in the open, in cooler climates they are best grown on a sheltered west or south facing wall.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Lemon,Citrus limon,Currently no data available.,Perennial,Miscellaneous,Full sun,Tender,Medium,5.5-7.0,"The lemon is an acidic fruit produced by a small evergreen tree.  The yellow citrus fruits are native to Asia, and are grown predominantly for their juice, and the rind (which the aromatic oils are extracted from).",Currently no data available.,Medium,All citrus trees require a mild climate and plenty of sun.  At temperatures below13°C they will go into dormancy.,Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Lime,Citrus aurantiifolia,Currently no data available.,Perennial,Miscellaneous,Full sun,Tender,Medium,5.5-7.0,"A citrus fruit ideal for adding flavour to drinks.  It is a hybrid fruit consisting of several species: Persian Lime, Desert Lime, Kaffier Lime and Key Lime (C. aurantifolia).",Currently no data available.,Medium,"Ensure that it is planted in well draining soil, as limes will not tolerate standing water, nor will they tolerate temperatures below 10°C.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Loganberry,Rubus loganobaccus,Currently no data available.,Perennial,Miscellaneous,Full sun/partial shade,Hardy,Medium,5.5-7.0,"A cross between a raspberry and a blackberry, producing a larger and darker fruit than the raspberry.  A very sweet fruit which is ideal for eating raw , using in baking and preserving.",Currently no data available.,Medium,"A vigorous plant that requires maintenance.  The fruit is produced on last years growth. Only prune back the canes once fruiting is finished, then tie back the new canes for next years fruit.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Nectarine,Prunus persica var. nucipersica,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,5.5-7.0,"A smoothed skinned subspecies of the peach. The nectarine has soft sweet flesh that easily bruises. Eaten fresh, cooked or preserved.",Currently no data available.,Medium,"Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C.  They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Orange,Citrus reticulata,Currently no data available.,Perennial,Miscellaneous,Full sun,Tender,Medium,5.5-7.0,"A sweet citrus fruit grown for eating fresh, processing, and it's fragrant peel.  A hybrid between a pomelo and a mandarin, it the most widely grown fruit tree in the world.",Currently no data available.,Medium,"All citrus trees require a mild climate and plenty of sun.  At temperatures of under 13 degrees celcius they will go into dormancy.  They can take a few years to bear fruit, and during this time will require regular fertiliser to encourage growth.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Peach,Prunus persica,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"A native tree of China, grown for its soft fleshed fruit which contains a singe hard stone in the centre and thin fuzzy skin.",Currently no data available.,Medium,"Peach and nectarine trees require warmth and sun, as well as a chill period of 600-900 hours at less than 7°C.  They are a semi-hardy, surviving in climates where temperatures drop to -20°C, but require warm summers to produce fruit.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Pear,Pyrus communis,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"A deciduous tree grown for it's soft sweet fruit.  The fruit are tear drop in shape, and usually have yellow to green skin and white flesh.",Currently no data available.,Medium,"Prefer a cold wet climate with a chill period of between 400 and 800 hours at less that 7 °C , and temperatures rarely going above 32°C. New varieties can withstand hotter climates, so choosing your variety for your climate in important.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Persimmon,Diospyros chinensis,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Low,5.5-6.5,Also know as the Sharon fruit. These  glossy yellow to orange fruits look like tomatoes and grow on trees that can reach 18 meters high.,Currently no data available.,Medium,"An easy to grow tree that, depending on variety, can be grown where temperatures drop to -12°C in winter.  American varieties are best for colder climates, where as the Japanese varieties are better suited to milder climates.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available..
Plum,Prunus domestica,"Clay, Loam",Perennial,Miscellaneous,Full sun,Hardy,Medium to high,6.0-8.0,"A sweet fruit that contains a single stone in the centre. Has many uses, from eating raw to preserving and cooking. There are many varieties which also include damsons and greengages.",Currently no data available.,Medium,"Choosing the correct variety for your climate and plot size is essential. The plum tree can vary from being less than 2m high and 0.5m wide to over 5m high.  Care is not difficult, but pruning and removing dead wood will ensure successful crop.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Pomagranate,Punica granatum,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,5.0-6.0,A deciduous fruit producing shrub or tree. Fruits have a tough skin filled with many jewel like seeds covered in red gelatinous flesh.,Currently no data available.,Medium,"Can tolerate temperatures down to -12°C, but require lots of heat to ripen the fruit.  They can take up to 5 years to produce fruit.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available..
Raspberry,Rubus idaeus,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Low,5.5-6.5,"A small soft red fruit containing many seed containing drouplets.  Native to many parts of Europe, it is  a high value fresh fruit.  Other uses include processing for juice, jams and confectionary.",Currently no data available.,Medium,"Most varieties are biennial (fruiting on last years canes).  In Autumn the old dead canes are removed, excessive new canes are also removed leaving sufficient canes for next years crop.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Redcurrant,Ribes rubrum,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"Small shiny berries produced on low bushes.  They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies.",Currently no data available.,Medium,"Are strong growing plants that will tolerate most conditions, including poor soil and shade.  They do however like plenty moisture.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Walnut,Juglans,Currently no data available.,Perennial,Miscellaneous,Full sun/partial shade,Hardy,Medium,5.5-7.5,"The wrinkled edible seed of a deciduous tree.  They can be eaten once fully ripe, or pickled when picked green.",Currently no data available.,Medium,"Trees can be damaged by by spring frosts and wind.  Older varieties will take as much as 10 years to produce nuts, but modern varieties can bear nuts in as little as 4 years.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
White currant,Ribes rubrum,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,6.0-7.0,"Small shiny berries produced on low bushes.  They are quite tart when eaten fresh, but their high pectin content make them ideal for making jellies..",Currently no data available.,Medium,"Are strong growing plants that will tolerate most conditions, including poor soil and shade.  They do however like plenty of moisture.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Chestnut,Castanea sativa,Currently no data available.,Perennial,Miscellaneous,Full sun,Hardy,Medium,5.5-6.0,"Some species of chestnut trees can grow to over 60m high, whereas others are more shrubby in nature.  The fruit, contained in a spiny capule, has 2 skins. The first is hard and shiny, the second a thinner skin attached to the seed.",Will not produce fruit if not grown in full sun.,Medium,"Trees can take upto 20 years before producing fruit.   Grafted trees will start fruiting sooner.  They require deep, well drained, fertile soil.",Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
Honey Berry,Lonicera caerulea,Currently no data available.,Perennial,Miscellaneous,Partial shade,Very hardy,Medium,5.0-7.0,A fruit bearing member of the honeysuckle family and related to the blueberry. The fruits are used in the same way as most soft fruits.  The sweet juicy fruits taste similar to rapberries and blueberries when eaten fresh.,Currently no data available.,Medium,These plants are frost hardy and grow in a range of soil.  They are best grouwn in groups to aid polination rate and resulting fruits.,Not applicable.,Not applicable.,Currently no data available.,Not applicable.,Currently no data available.,0,Currently no data available.,Currently no data available.
