Name5,FoodStoreCat5,LatinName5,HardinessUSDA,EdibilityRating5,MedicinalRating5,OtherUsesRating5
Blue Lupine. Nootka lupine,Other,Lupinus nootkatensis,3-7,3,0,3
Sundial Lupine,Other,Lupinus perennis,3-9,3,1,3
Big-Leaf Lupin. Lupine,Other,Lupinus polyphyllus,3-9,1,1,4
Ragged Robin,Other,Lychnis flos-cuculi,4-8,0,0,0
Brilliant campion,Other,Lychnis fulgens,4-8,1,0,
Goji. Box Thorn. Matrimony vine,Other,Lycium barbarum,4-8,4,3,3
Chinese Boxthorn. Chinese desert-thorn,Other,Lycium chinense,4-8,4,3,3
Pale Wolfberry. Pale desert-thorn. Rabbit thorn,Fruit,Lycium pallidum,4-8,3,2,3
Ground Pine. Groundcedar,Other,Lycopodium complanatum,6-9,0,3,
Shining Club Moss,Other,Lycopodium lucidulum,6-9,1,0,
Ground Pine. Rare clubmoss,Other,Lycopodium obscurum,4-10,0,2,
Water Horehound. American water horehound,Other,Lycopus americanus,6-9,1,3,0
Gypsywort,Other,Lycopus europaeus,4-9,1,3,
Bugleweed. Northern bugleweed,Other,Lycopus uniflorus,4-8,3,1,
Bugleweed. Virginia water horehound,Other,Lycopus virginicus,4-8,2,3,0
Golden Spider Lily,Other,Lycoris aurea,4-8,0,1,
Spider Lily,Other,Lycoris sanguinea,4-9,2,0,
Resurrection Lily. Hardy Amaryllis. Magic Lily. Autumn Lycoris. Naked Lady,Other,Lycoris squamigera,4-10,2,0,
Yellow Skunk Cabbage. American skunkcabbage,Other,Lysichiton americanus,6-12,3,2,
Manchurian yellow loosestrife,Other,Lysimachia barystachys,6-9,1,0,
Gooseneck Loosestrife. Gooseneck yellow loosestrife. Japanese Loosestrife. Shepherd's Crook,Other,Lysimachia clethroides,6-9,1,0,
Yellow Pimpernel,Other,Lysimachia nemorum,5-9,0,1,
Creeping Jenny. Moneywort. Creeping Charlie,Other,Lysimachia nummularia,5-9,1,2,0
Yellow Loosestrife. Garden yellow loosestrife,Other,Lysimachia vulgaris,3-7,1,2,0
Purple Loosestrife,Other,Lythrum salicaria,4-8,2,3,0
Chinese Yellow Wood. Amur maackia,Other,Maackia amurensis,6-9,1,0,4
Plume Poppy,Other,Macleaya cordata,3-7,0,1,0
Osage Orange. Bois D'Arc,Other,Maclura pomifera,4-7,1,2,
Giant Trumpets. Thurber's giant-trumpets,Other,Macromeria viridiflora,3-7,0,1,
Cucumber Tree. Cucumber Magnolia,Vegetables,Magnolia acuminata,4-8,0,3,
Lily Tree. Yulan Magnolia,Other,Magnolia denudata,4-8,1,2,
Southern Magnolia. Bull Bay. Large-flowered Magnolia. Southern Magnolia,Other,Magnolia grandiflora,4-8,2,2,
Whitebark Magnolia,Other,Magnolia hypoleuca,4-8,2,2,
Kobus magnolia. Northern Japanese Magnolia,Other,Magnolia kobus,4-8,1,1,
Mu-Lan. Woody Orchid. Lily Magnolia,Other,Magnolia liliiflora,4-8,0,3,
Bigleaf Magnolia,Other,Magnolia macrophylla,4-8,0,1,
Star Magnolia,Other,Magnolia stellata,4-8,1,0,
Laurel Magnolia. Sweetbay,Other,Magnolia virginiana,4-8,1,3,2
Oregon Grape. Hollyleaved barberry. Oregon Holly Grape. Oregon Holly,Fruit,Mahonia aquifolium,4-8,3,3,3
Beale's barberry. Leatherleaf Mahonia,Fruit,Mahonia bealei,4-8,3,2,0
Oregon Grape. Cascade barberry,Fruit,Mahonia nervosa,4-8,3,2,3
Dwarf Barberry,Fruit,Mahonia pumila,4-8,3,2,3
Creeping Oregon Grape. Creeping barberry. Grape Oregon,Fruit,Mahonia repens,4-8,3,3,4
Mexican Barberry. Algerita,Fruit,Mahonia trifoliolata,4-8,3,2,4
Canada Beadruby. Canada mayflower,Other,Maianthemum canadense,4-8,1,1,2
Wild Lily Of The Valley. False lily of the valley,Other,Maianthemum dilatatum,3-9,2,1,
Southern Crab. Southern crab apple,Other,Malus angustifolia,5-9,2,0,
Chinese Crab. Siberian crab apple,Other,Malus baccata,3-8,2,1,2
Garland Crab. Sweet crab apple,Herbs,Malus coronaria,5-10,3,1,
Apple,Fruit,Malus domestica,5-9,5,2,4
Hawthorn-leaf crab apple,Other,Malus florentina,4-8,2,0,
Japanese Crab. Japanese flowering crab apple,Other,Malus floribunda,5-7,3,0,
Oregon Crab. Oregon crab apple,Other,Malus fusca,4-8,3,2,
Hall crab apple,Other,Malus halliana,3-7,2,0,
Chinese Crab. Chinese crab apple. Tea Crabapple. Flowering Tea Crabapple,Other,Malus hupehensis,4-8,2,0,
Prairie Crab. Prairie crab apple. Texas crab apple. Prairie Crabapple,Other,Malus ioensis,4-9,2,0,2
Pratt apple,Other,Malus prattii,6-9,2,0,
Chinese Apple. Plumleaf crab apple,Other,Malus prunifolia,5-9,4,0,
Chinese Apple,Other,Malus prunifolia rinkii,3-8,3,0,
Paradise Apple. Common Apple. Apple Tree,Fruit,Malus pumila,5-9,4,2,3
Crab Apple,Other,Malus pumila nervosa,5-9,3,0,2
Paradise Apple,Other,Malus pumila paradisiaca,5-9,3,0,2
Sargent's apple. Sargent Crabapple,Other,Malus sargentii,3-7,2,0,
Crabapple,Other,Malus sieversii,4-8,3,0,0
Chinese Flowering Apple. Asiatic apple,Other,Malus spectabilis,5-9,3,0,
Crab Apple. European crab apple,Other,Malus sylvestris,5-9,3,2,
Toringo crab,Other,Malus toringo,4-8,2,0,
Cutleaf crab apple,Other,Malus toringoides,4-8,2,0,
Pillar apple. Crabapple,Other,Malus tschonoskii,4-8,3,0,
Kaido Crab Apple,Other,Malus x micromalus,6-9,2,0,
Crabapple,Other,Malus yunnanensis,4-8,2,0,
Vervain mallow. Hollyhock Mallow,Other,Malva alcea,5-10,5,1,2
Musk Mallow,Other,Malva moschata,3-7,5,2,2
Dwarf Mallow. Common mallow,Other,Malva neglecta,5-9,4,2,0
Bull Mallow,Other,Malva nicaeensis,5-10,3,1,
Dwarf Mallow. Low mallow,Other,Malva pusilla,5-9,4,2,
Mallow. High mallow. French Hollyhock. Common Mallow. Tree Mallow. Tall Mallow,Herbs,Malva sylvestris,4-8,3,3,3
Chinese Mallow. Cluster mallow,Other,Malva verticillata,5-9,5,2,2
Mandrake,Other,Mandragora officinarum,6-7,1,2,
White Horehound. Horehound,Other,Marrubium vulgare,3-7,1,3,3
Water Clover. European waterclover,Other,Marsilea quadrifolia,4-8,1,2,0
Pineapple Weed,Other,Matricaria matricarioides,5-10,1,2,
German Camomile,Other,Matricaria recutita,6-9,1,5,4
Ostrich Fern,Other,Matteuccia struthiopteris,4-8,2,1,2
Stock. Tenweeks stock. Gillyflower. Brompton Stock,Other,Matthiola incana,5-9,2,1,
Blue Poppy,Other,Meconopsis grandis,6-9,1,0,
Indian Cucumber Root,Other,Medeola virginiana,6-8,4,1,1
Black Medick,Other,Medicago lupulina,3-7,2,1,4
Alfalfa. Yellow alfalfa,Other,Medicago sativa,6-9,4,3,4
Bunchflower,Other,Melanthium virginicum,6-9,0,1,
Annual Yellow Sweetclover,Other,Melilotus indicus,6-9,1,2,
Lemon Balm. Common balm. Bee Balm. Sweet Balm. Lemon Balm,Other,Melissa officinalis,4-8,3,5,3
Bastard Balm,Other,Melittis melissophyllum,4-8,1,1,
Canada Moonseed. Common moonseed,Other,Menispermum canadense,6-9,0,2,
Water Mint,Other,Mentha aquatica,3-7,3,3,3
Corn Mint. Wild mint,Other,Mentha arvensis,6-9,3,2,3
Japanese Mint,Other,Mentha arvensis piperascens,5-9,3,2,
American Wild Mint,Other,Mentha arvensis villosa,5-9,3,2,
Hart's Pennyroyal,Other,Mentha cervina,6-10,3,2,
Horsemint,Other,Mentha longifolia,5-9,2,2,
Pennyroyal,Other,Mentha pulegium,5-9,3,3,0
Corsican Mint. Mint,Other,Mentha requienii,6-9,3,2,3
Native Pennyroyal,Other,Mentha satureioides,4-8,2,2,
Spearmint,Other,Mentha spicata,5-7,4,3,3
Round-Leaved Mint. Apple mint. Pineapple Mint,Other,Mentha suaveolens,6-9,2,2,2
Ginger Mint,Other,Mentha x gracilis,5-7,3,2,
Eau De Cologne Mint. Eau de Cologne Mint. Peppermint,Herbs,Mentha x piperita citrata,6-10,2,2,3
White Peppermint,Herbs,Mentha x piperita officinalis,5-12,3,5,3
Black Peppermint,Herbs,Mentha x piperita vulgaris,6-9,4,5,3
Red Raripila Mint,Other,Mentha x smithiana,6-9,3,2,
Apple Mint. Bowles' Mint,Other,Mentha x villosa alopecuroides,5-9,4,2,3
Bogbean. Buckbean. Marsh Trefoil.,Other,Menyanthes trifoliata,4-8,2,3,
False Huckleberry. Rusty menziesia,Fruit,Menziesia ferruginea,6-9,2,1,
Dog's Mercury,Other,Mercurialis perennis,5-9,0,1,
Mountain Bell. Tall fringed bluebells,Other,Mertensia ciliata,6-9,1,1,
Small bluebells,Other,Mertensia longiflora,6-9,1,0,
Oyster Plant,Other,Mertensia maritima,6-9,3,0,
Oblongleaf bluebells,Other,Mertensia oblongifolia,5-9,1,0,
Tall bluebells. Alaska tall bluebells. Northern bluebells. Eastwood's bluebells,Other,Mertensia paniculata,6-9,1,0,
Medlar,Other,Mespilus germanica,5-8,4,1,1
Dawn Redwood,Other,Metasequoia glyptostroboides,4-10,0,0,
Spignel,Other,Meum athamanticum,5-10,2,1,
Yerba Buena,Other,Micromeria chamissonis,4-10,2,2,2
Savory,Other,Micromeria juliana,5-8,1,1,
Wood Millet. American milletgrass,Other,Milium effusum,5-9,2,0,
Yellow Monkey Flower. Seep monkeyflower,Other,Mimulus guttatus,4-8,2,2,
Great Purple Monkey Flower. Purple monkeyflower,Other,Mimulus lewisii,4-9,2,1,
Monkey Musk. Yellow monkey-flower,Other,Mimulus luteus,5-9,2,0,
Musk Monkey Flower. Muskflower,Other,Mimulus moschatus,4-8,1,0,
Pacific Island silvergrass. Giant Eulalia Grass. Giant Chinese Silver Grass,Other,Miscanthus floridulus,6-9,2,0,0
Eulalia. Chinese silvergrass. Silver Feather. Eulalia Grass. Japanese Silver Grass. Ornamental Grass,Other,Miscanthus sinensis,6-9,1,2,0
Giant Miscanthus,Other,Miscanthus x giganteus,6-11,0,0,4
Partridge Berry,Fruit,Mitchella repens,6-9,3,3,4
Mitrewort. Twoleaf miterwort,Other,Mitella diphylla,5-8,0,1,2
Lemon Bergamot. Lemon beebalm. Lemon Mint,Other,Monarda citriodora,4-8,2,0,
White Basil-Balm. White bergamot,Other,Monarda clinopodia,4-8,1,0,
Bergamot. Scarlet beebalm. Horsemint. Oswego Tea. Bee Balm,Other,Monarda didyma,4-8,3,2,3
Wild Bergamot. Mintleaf bergamot. Wild Bee-Balm. Lupine,Other,Monarda fistulosa,4-8,3,2,2
Mint-Leaved Bergamot. Mintleaf bergamot,Other,Monarda menthifolia,4-8,1,2,
Horse Mint. Spotted beebalm,Other,Monarda punctata,3-7,1,3,
Whorlflower,Other,Morina longifolia,4-8,0,2,
White Mulberry. Common Mulberry.,Fruit,Morus alba,4-8,4,3,4
White Mulberry,Fruit,Morus alba multicaulis,5-9,4,3,
Korean Mulberry. Aino Mulberry,Fruit,Morus australis,4-9,2,2,
Kuwa,Other,Morus bombycis,4-8,2,2,
Hua Sang,Other,Morus cathayana,4-8,2,0,
Texas Mulberry,Fruit,Morus microphylla,4-8,2,0,
Mongolian Mulberry,Fruit,Morus mongolica,3-7,2,1,
Black Mulberry,Fruit,Morus nigra,4-8,5,3,3
Red Mulberry. Common Mulberry. White Mulberry,Fruit,Morus rubra,4-8,3,2,2
Italian Grape Hyacinth. Common grape hyacinth. White Grape Hyacinth,Other,Muscari botryoides,4-10,1,0,2
Tassel Hyacinth. Tassel grape hyacinth,Other,Muscari comosum,4-10,3,1,2
Grape Hyacinth. Starch grape hyacinth,Other,Muscari neglectum,4-10,2,0,2
Alpine Forget-Me-Not. Scorpion Grass. Forget-Me-Not,Other,Myosotis alpestris,6-10,0,2,
Water Forget-Me-Not. True forget-me-not,Other,Myosotis scorpioides,6-9,0,1,0
Bog Myrtle. Sweetgale,Other,Myrica gale,5-9,2,2,4
Bayberry,Fruit,Myrica heterophylla,4-9,3,2,3
Northern Bayberry,Fruit,Myrica pensylvanica,4-8,3,1,3
Water Milfoil. Eurasian watermilfoil,Other,Myriophyllum spicatum,4-8,1,1,0
Myriad Leaf. Whorl-leaf watermilfoil,Other,Myriophyllum verticillatum,4-8,1,0,
Sweet Cicely. Anise,Other,Myrrhis odorata,6-9,4,3,3
White Lettuce,Other,Nabalus albus,6-7,0,2,
Lion's Foot,Other,Nabalus serpentarius,4-7,0,1,
Nodding waternymph,Other,Najas flexilis,3-7,2,0,
Sacred Bamboo. Heavenly Bamboo,Other,Nandina domestica,4-7,1,2,0
Jonquil,Other,Narcissus jonquilla,3-9,1,0,
Poet's Narcissus,Other,Narcissus poeticus,5-9,0,1,
Wild Daffodil. Daffodil,Other,Narcissus pseudonarcissus,6-9,0,2,
Watercress. Onerow yellowcress,Other,Nasturtium microphyllum,4-8,3,1,0
Watercress,Other,Nasturtium officinale,5-8,4,3,2
Brown Watercress,Other,Nasturtium x sterile,4-8,4,3,
Skunk Weed. Skunkbush,Other,Navarretia squarrosa,4-8,1,0,2
American Water Lotus. American lotus,Other,Nelumbo lutea,4-9,4,1,0
Sacred Water Lotus. Sacred lotus,Other,Nelumbo nucifera,6-9,4,3,
Mountain Holly,Other,Nemopanthus mucronatus,5-9,1,1,
Catmint. Catnip,Other,Nepeta cataria,5-9,3,2,0
Tobacco. Jasmine tobacco. Nicotiana. Jasmine Tobacco. Ornamental Tobacco. Flowering Tobacco,Other,Nicotiana alata,5-8,0,0,3
Roble. Roble beech,Other,Nothofagus obliqua,6-9,0,0,
Rauli,Other,Nothofagus procera,4-7,0,0,
Lenga,Other,Nothofagus pumilio,4-8,1,0,
Slender false garlic,Herbs,Nothoscordum gracile,5-9,2,0,
Common Spatterdock. Yellow pond-lily. Varigated yellow pond-lily,Other,Nuphar advena,5-9,3,2,0
Yellow Water Lily. Yellow pond-lily. Rocky Mountain pond-lily. Varigated yellow pond-lily,Other,Nuphar lutea,5-9,3,2,
Spatterdock. Rocky Mountain pond-lily,Other,Nuphar polysepala,5-9,3,1,
White Water Lily. European white waterlily,Other,Nymphaea alba,5-9,3,2,
Fragrant Water Lily. American white waterlily,Other,Nymphaea odorata,5-9,3,3,0
Tuberous Water Lily. American white waterlily,Other,Nymphaea tuberosa,6-9,3,3,
Water Fringe. Yellow floatingheart,Other,Nymphoides peltata,5-9,2,2,0
Water Tupelo,Other,Nyssa aquatica,6-9,2,0,
Black Tupelo. Blackgum. Sour Gum. Black Tupelo,Other,Nyssa sylvatica,5-9,2,1,
Oso Berry. Indian plum,Fruit,Oemleria cerasiformis,3-9,2,1,
Water Dropwort. Java waterdropwort. Stolon waterdropwort,Other,Oenanthe javanica,4-8,3,2,3
Whitest Evening Primrose,Other,Oenothera albicaulis,4-8,2,1,
Evening Primrose. Sun Drop. Common evening primrose,Other,Oenothera biennis,3-6,3,5,3
Hooker's Evening Primrose,Other,Oenothera elata hookeri,4-6,2,1,2
Large-Flower Evening Primrose. Redsepal evening primrose,Other,Oenothera glazioviana,3-7,2,2,
Sainfoin,Other,Onobrychis viciifolia,2-6,1,0,4
Sensitive Fern,Other,Onoclea sensibilis,4-8,2,2,2
Rest Harrow. Common restharrow,Other,Ononis repens,2-6,2,1,
Spiny Rest Harrow,Other,Ononis spinosa,5-9,2,2,3
Scotch Thistle. Scotch cottonthistle,Other,Onopordum acanthium,3-7,2,1,0
Cotton Thistle. Illyrian cottonthistle,Other,Onopordum illyricum,3-7,1,0,0
Onosma,Other,Onosma echioides,5-9,0,1,
Adder's Tongue. Southern adderstongue,Other,Ophioglossum vulgatum,5-9,1,2,
Bee Orchid,Other,Ophrys apifera,2-11,2,2,
Brown Bee Orchid,Other,Ophrys fusca,3-7,2,2,
Late Spider Orchid,Other,Ophrys holoserica,4-8,2,2,
Fly Orchid,Other,Ophrys insectifera,4-8,2,2,
Early Spider Orchid,Other,Ophrys sphegodes,6-9,2,2,
Devil's Club,Other,Oplopanax horridus,5-9,2,2,
Opopanax,Other,Opopanax chironium,5-8,0,1,
Plains Prickly Pear. El Paso pricklypear. Grizzlybear pricklypear. Navajo Bridge pricklypear. Hairsp,Other,Opuntia polyacantha,6-9,3,1,0
Bug Orchis,Other,Orchis coriophora,5-9,2,2,
Marsh Orchis,Other,Orchis laxiflora,3-7,2,2,
Early Purple Orchis,Other,Orchis mascula,4-8,2,2,
Military Orchis,Other,Orchis militaris,4-11,2,2,
Green-Winged Orchid. Green-winged orchid,Other,Orchis morio,4-8,2,2,
Dark-Winged Orchis,Other,Orchis ustulata,4-8,2,2,
Sweet Marjoram,Other,Origanum majorana,5-9,3,3,3
Oregano. Pot Marjoram,Other,Origanum vulgare,5-9,4,3,5
Greek Oregano,Other,Origanum vulgare hirtum,5-9,4,3,3
Hardy Marjoram,Other,Origanum x majoricum,5-9,2,2,
Star Of Bethlehem,Other,Ornithogalum narbonense,3-7,1,0,
Bath Asparagus. Pyrenees star of Bethlehem,Other,Ornithogalum pyrenaicum,5-9,2,0,
Star Of Bethlehem. Dove's Dung,Other,Ornithogalum umbellatum,5-9,3,1,0
Golden Club,Other,Orontium aquaticum,6-9,3,0,
Sidebells Wintergreen,Other,Orthilia secunda,3-10,1,1,
Holly Olive. Holly osmanthus. Chinese Holly. Holly Tea Olive. False Holly,Other,Osmanthus heterophyllus,4-8,0,0,
Woolly Sweet-Cicely. Clayton's sweetroot,Other,Osmorhiza claytonii,5-9,3,1,1
Aniseroot. Longstyle sweetroot,Other,Osmorhiza longistylis,4-8,3,1,1
Western Sweet-Cicely. Western sweetroot,Other,Osmorhiza occidentalis,5-9,3,2,
Cinnamon Fern,Other,Osmunda cinnamomea,5-9,2,1,
Interrupted Fern,Other,Osmunda claytoniana,4-8,2,1,
Zenmai,Other,Osmunda japonica,4-8,2,0,
Royal Fern. Flowering Fern,Other,Osmunda regalis,5-9,0,2,
Hop Hornbeam,Other,Ostrya carpinifolia,3-9,0,0,
Ironwood. Hophornbeam. Hop Hornbeam American. Hop Hornbeam Eastern,Other,Ostrya virginiana,5-9,0,1,
Wood Sorrel,Other,Oxalis acetosella,4-9,3,2,3
Sauer Klee,Other,Oxalis adenophylla,4-8,0,0,
Yellow Sorrel. Creeping woodsorrel,Other,Oxalis corniculata,5-9,2,2,0
Scurvy Grass,Other,Oxalis enneaphylla,5-9,2,0,
Least Yellow Sorrel. Shady woodsorrel,Other,Oxalis exilis,5-9,2,2,
Great Yellow Woodsorrel,Other,Oxalis grandis,4-8,2,1,1
Redwood Sorrel,Other,Oxalis oregana,4-8,3,1,3
Oca,Other,Oxalis tuberosa,3-7,5,0,
Violet Wood Sorrel,Other,Oxalis violacea,4-8,3,1,
Sorrel Tree. Sourwood,Vegetables,Oxydendrum arboreum,5-9,3,2,
Mountain Sorrel. Alpine mountainsorrel,Other,Oxyria digyna,6-9,3,1,0
Crazy Weed. Purple locoweed,Other,Oxytropis lambertii,4-8,2,0,0
Allegheny spurge,Other,Pachysandra procumbens,3-7,0,0,3
Japanese Spurge. Japanese pachysandra. Pachysandra,Other,Pachysandra terminalis,3-7,2,0,
Golden Groundsel - Life Root. Golden ragwort,Other,Packera aurea,3-9,0,2,0
Roundleaf ragwort,Other,Packera obovata,4-8,0,0,2
Skunk Vine,Other,Paederia foetida,6-9,2,4,2
Anomalous peony. Common Peony,Other,Paeonia anomala,4-8,1,3,0
Brown's Peony,Other,Paeonia brownii,4-8,1,2,
Tree Peony. Dian mu dan,Other,Paeonia delavayi,3-7,1,3,
Yama-Shakuyaku,Other,Paeonia japonica,3-6,1,1,
Chinese Peony. Peony,Other,Paeonia lactiflora,5-9,1,3,
Tree Peony. Dian mu dan,Other,Paeonia lutea,5-9,1,3,
Peony. Common peony,Other,Paeonia officinalis,4-8,1,2,
Tree Peony,Other,Paeonia ostii,5-9,1,2,
Tree Peony,Other,Paeonia potaninii,6-9,1,2,
Moutan. Moutan peony. Tree Peony. Japanese Tree Peony,Other,Paeonia suffruticosa,4-7,1,2,
Tree Peony,Other,Paeonia szechuanica,4-8,1,2,
Ma Jia Zi,Other,Paliurus ramosissimus,4-7,0,2,
Ginseng. Chinese ginseng,Other,Panax ginseng,4-8,2,5,
Ginseng. Japanese ginseng,Other,Panax pseudoginseng,5-9,1,3,
American Ginseng,Other,Panax quinquefolius,4-8,1,3,0
Ground Nut. Dwarf ginseng,Nuts,Panax trifolius,6-9,1,2,
Old Witch Grass. Witchgrass,Other,Panicum capillare,5-9,2,1,0
Long-Head Poppy. Blindeyes,Other,Papaver dubium,4-8,0,1,0
Arctic Poppy. Icelandic poppy,Other,Papaver nudicaule,4-8,1,1,
Oriental Poppy,Other,Papaver orientale,4-8,1,1,
Corn Poppy. Field Poppy. Shirley Poppy,Other,Papaver rhoeas,5-9,2,3,
Herb Paris,Herbs,Paris quadrifolia,3-7,0,2,
Grass Of Parnassus. Marsh grass of Parnassus. Mountain grass of Parnassus. Alaska grass of Parnass,Other,Parnassia palustris,5-10,0,2,
Algerian Tea,Other,Paronychia argentea,4-8,1,1,
Algerian Tea,Other,Paronychia capitata,4-8,1,1,
Wild Quinine,Other,Parthenium integrifolium,4-8,0,2,
Virginia Creeper. Woodbine,Other,Parthenocissus quinquefolia,4-8,2,2,0
Boston Ivy. Japanese Ivy. Japanese Creeper,Other,Parthenocissus tricuspidata,4-8,1,0,
Banana Passion Fruit,Fruit,Passiflora mollisima,4-8,3,0,
Passion Flower,Other,Passiflora x colvillii,4-8,2,0,
Parsnip. Wild parsnip,Other,Pastinaca sativa,5-8,4,1,2
Eastern Valerian. Scabious Patrinia,Other,Patrinia scabiosifolia,4-8,1,3,
Foxglove Tree. Princesstree. Empress Tree. Royal Paulownia.,Other,Paulownia tomentosa,4-8,1,2,2
Common Lousewort,Other,Pedicularis canadensis,4-8,1,2,
White Arrow Arum,Other,Peltandra sagittifolia,4-8,2,0,
Green Arrow Arum,Other,Peltandra virginica,4-8,3,0,
Garlic Cress,Herbs,Peltaria alliacea,4-8,4,0,3
Chinese Fountain Grass. Fountain Grass. Swamp Foxtail Grass. Chinese Fountain Grass,Other,Pennisetum alopecuroides,4-8,1,0,
Sand-Dune Penstemon. Sharpleaf penstemon,Other,Penstemon acuminatus,4-8,0,1,
Yellow Penstemon,Other,Penstemon confertus,4-8,1,1,
Large Beard Tongue,Other,Penstemon grandiflorus,4-8,0,1,
Small-Flowered Penstemon. Littleflower penstemon. Pincushion beardtongue. Tolmie's penstemon,Other,Penstemon procerus,4-8,1,0,
Evergreen bugloss,Other,Pentaglottis sempervirens,5-9,1,0,0
Squaw Apple. Wild crab apple,Other,Peraphyllum ramosissimum,5-9,2,0,
Silk Vine,Other,Periploca graeca,4-8,0,1,
Russian Sage. Azure Sage,Other,Perovskia atriplicifolia,4-8,1,1,
Butterbur,Other,Petasites albus,4-8,2,1,
Sweet Coltsfoot. Arctic sweet coltsfoot. Arrowleaf sweet coltsfoot. Golden Palms Coltsfoot. Butterb,Other,Petasites frigidus,5-9,2,1,
Butterbur. Pestilence wort,Other,Petasites hybridus,5-9,0,3,
Arctic Sweet Coltsfoot,Other,Petasites hyperboreus,5-9,2,1,
Sweet Coltsfoot. Japanese sweet coltsfoot. Butterbur,Other,Petasites japonicus,4-9,3,2,1
Sweet Butterbur. Golden Palms Coltsfoot. Sweet Coltsfoot. Butterbur,Other,Petasites palmatus,4-9,2,1,
Masterwort,Other,Peucedanum ostruthium,5-9,2,2,
Marsh Hog's Fennel. Hogfennel,Other,Peucedanum palustre,4-8,1,1,
Canary Grass. Reed canarygrass. Gardener's Garter Grass. Ribbon Grass,Other,Phalaris arundinacea,4-8,0,0,0
Canary Grass. Annual canarygrass,Other,Phalaris canariensis,5-9,2,0,0
Small Canary Grass. Littleseed canarygrass,Other,Phalaris minor,4-7,1,0,0
Runner Bean. Scarlet runner,Other,Phaseolus coccineus,4-8,4,0,3
Thicket Bean. Wild bean,Other,Phaseolus polystachios,4-8,2,0,3
French Bean. Kidney bean,Other,Phaseolus vulgaris,4-9,5,2,2
Amur Cork Tree. Chinese Corktree,Other,Phellodendron amurense,5-9,1,3,
Chinese Cork Tree,Other,Phellodendron chinense,6-9,0,3,
Lavalle corktree,Other,Phellodendron lavallei,2-6,1,0,
Mock Orange. Sweet mock orange,Other,Philadelphus coronarius,6-9,0,0,
Mock Orange. Lewis' mock orange,Other,Philadelphus lewisii,5-9,0,1,
Littleleaf Mock Orange,Other,Philadelphus microphyllus,5-9,1,0,
Hoary mock orange,Other,Philadelphus pubescens,4-8,0,0,
Mock Orange,Other,Philadelphus x virginalis,6-9,0,0,
Timothy,Other,Phleum pratense,5-9,0,1,0
Jerusalem Sage. Shrubby Jerusalem sage,Other,Phlomis fruticosa,4-9,0,0,
Jerusalem Sage,Other,Phlomis russeliana,5-10,0,0,
Tuberous Jerusalem sage,Other,Phlomis tuberosa,4-10,2,0,
Wild blue phlox,Other,Phlox divaricata,6-9,0,0,3
Pine phlox. Trailing phlox,Other,Phlox nivalis,6-9,0,0,3
Garden Phlox. Fall phlox. Perennial Phlox. Tall Phlox. Summer Phlox,Other,Phlox paniculata,6-9,0,0,
Creeping phlox,Other,Phlox stolonifera,3-7,0,0,3
Moss phlox,Other,Phlox subulata,5-9,0,0,3
False Mistletoe. Oak mistletoe,Other,Phoradendron leucarpum,5-9,0,1,
Taiwanese photinia . Chinese Photinia,Other,Photinia serratifolia,3-7,0,1,
Oriental photinia,Other,Photinia villosa,3-7,1,0,
Common Reed. American common reed. Hybrid common reed. European common reed. Subtropical common re,Other,Phragmites australis,5-9,5,2,4
Golden Bamboo. Fishpole Bamboo,Other,Phyllostachys aurea,4-8,5,0,0
Yellow-Groove Bamboo,Other,Phyllostachys aureosulcata,3-9,4,0,2
Madake. Japanese timber bamboo,Other,Phyllostachys bambusoides,4-8,4,1,3
Moso-Chiku. Tortoise shell bamboo,Other,Phyllostachys edulis,5-9,4,1,0
Zig-Zag Bamboo. Drooping timber bamboo,Other,Phyllostachys flexuosa,4-8,3,0,2
Big-Node Bamboo. Broom bamboo,Other,Phyllostachys nidularia,6-9,5,0,4
Ha-Chiku,Other,Phyllostachys nigra henonis,4-8,4,3,
Kurodake,Other,Phyllostachys nigra punctata,5-7,4,3,
Violet Bamboo,Other,Phyllostachys praecox,4-8,3,0,3
Ougon-Kouchiku. Sulphur bamboo,Other,Phyllostachys sulphurea,5-12,0,0,
Kou-Chiku,Other,Phyllostachys sulphurea viridis,6-10,4,0,3
Greenwax golden bamboo,Other,Phyllostachys viridiglaucescens,5-10,4,0,1
Winter Cherry. Strawberry groundcherry.Ground Cherry. Chinese Lantern,Fruit,Physalis alkekengi,6-8,2,2,
Winter Cherry,Other,Physalis alkekengi franchetii,5-9,2,2,
Wild Tomatillo. Mexican groundcherry,Other,Physalis philadelphica,4-8,4,1,
Strawberry Tomato,Fruit,Physalis pruinosa,3-9,3,0,
Longleaf groundcherry,Other,Physalis subglabrata,3-7,2,0,
Virginia Ground Cherry,Other,Physalis virginiana,4-8,2,1,0
Ninebark. Common ninebark. Atlantic ninebark. Ninebark,Other,Physocarpus opulifolius,3-7,0,1,
Pokeweed. American pokeweed. Garnet. Pigeon Berry. Poke,Fruit,Phytolacca americana,4-8,3,3,2
Norway Spruce,Other,Picea abies,5-9,2,1,4
Weeping Spruce. Brewer spruce,Other,Picea breweriana,5-9,2,0,
Mountain Spruce. Engelmann spruce,Other,Picea engelmannii,4-8,2,2,
White Spruce. Black Hills Spruce. Canadian Spruce,Other,Picea glauca,4-8,2,2,3
Sakhalin Spruce,Other,Picea glehnii,4-10,2,0,
Serbian Spruce,Other,Picea omorika,3-7,2,0,
Caucasian Spruce,Other,Picea orientalis,6-9,2,0,
