Name4,SName4,Family4,Genus4,Species4,Native4,Naturalized4,CoC4,Endemic4,Persisting4,Category4,Habitat4,GrowthHabit4,Duration4,Status_State4,Status_US4,Scientific_Name_With_Authors,Species_Author,Infraspecies,Infraspecies_Author
hairy bush clover,Lespedeza hirta ssp. hirta,Fabaceae,Lespedeza,hirta,Y,,6,N,Y,Vascular,Woodlands. dry fields. thin forests. clearings in forests. railroad edges. and utility rights-of-way. Similar habitat to L. capitata but perhaps sometimes in slightly more shaded sites.,Forb/herb,Perennial,,,Lespedeza hirta (L.) Hornem. ssp. hirta,(L.) Hornem.,ssp. hirta,
neglected bush clover,Lespedeza stuevei  x L. virginica = L.  xneglecta,Fabaceae,Lespedeza,stuevei x L. virginica = L. xneglecta,Y,,,N,Y,Vascular,,Forb/herb,Perennial,,,Lespedeza stuevei  x L. virginica = L.  xneglecta Mack. & Bush,Mack. & Bush,,
wand-like bush clover,Lespedeza violacea,Fabaceae,Lespedeza,violacea,Y,,7,N,Y,Vascular,Dry-mesic hardwood forests and woodlands. Often on rocky acidic to circumneutral soils including shale talus on upper slopes and bluffs.,Forb/herb,,,,Lespedeza violacea (L.) Pers.,(L.) Pers.,,
oxeye daisy,Leucanthemum vulgare,Asteraceae,Leucanthemum,vulgare,N,Y,,N,Y,Vascular,Successional fields. disturbed places. waste ground. roadsides. occasionally getting into open more natural settings such as rocky summits. barrens. and alvars.,Forb/herb,Perennial,,,Leucanthemum vulgare Lam.,Lam.,,
rough blazing star,Liatris aspera,Asteraceae,Liatris,aspera,N,U,,N,Y,Vascular,,Forb/herb,Perennial,,,Liatris aspera Michx.,Michx.,,
thick-spiked blazing star,Liatris pycnostachya var. pycnostachya,Asteraceae,Liatris,pycnostachya,N,U,,N,Y,Vascular,Successional fields sometimes in wet soils.,Forb/herb,Perennial,,,Liatris pycnostachya Michx. var. pycnostachya,Michx.,var. pycnostachya,
button blazing star,Liatris spicata var. spicata,Asteraceae,Liatris,spicata,U,,10,N,Y,Vascular,,Forb/herb,Perennial,,,Liatris spicata (L.) Willd. var. spicata,(L.) Willd.,var. spicata,
European privet,Ligustrum vulgare,Oleaceae,Ligustrum,vulgare,N,Y,,N,Y,Vascular,Forests. thickets. fields. and disturbed soils. Much less common than L. obtusifolium but sometimes locally quite aggressive.,Shrub,Perennial,,,Ligustrum vulgare L.,L.,,
Canada lily,Lilium canadense,Liliaceae,Lilium,canadense,Y,,6,N,Y,Vascular,Alluvial thickets. floodplain forests. and wet thickets. Usually flowering best in non-shaded sites. Often in peaty or wet springy soils. Perhaps in more acidic soils than ssp. editorum. More work is needed to asses the habitat differences of the two ssp.,Forb/herb,Perennial,,,Lilium canadense L.,L.,,
hybrid lily,Lilium canadense  x L. michiganense,Liliaceae,Lilium,canadense x L. michiganense,Y,,,N,,Vascular,,,,,,Lilium canadense  x L. michiganense,,,
wood lily,Lilium philadelphicum,Liliaceae,Lilium,philadelphicum,Y,,8,N,Y,Vascular,Forests. woodlands. edges of forests. and utility rights-of-way in dry thin or sandy soils. Often on hilltops in partial shade in relatively poor soils.,Herbaceous,Perennial,,,Lilium philadelphicum L.,L.,,
butter-and-eggs,Linaria vulgaris,Plantaginaceae,Linaria,vulgaris,N,Y,,N,Y,Vascular,Roadsides. successional fields. cultivated ground. disturbed soils. and waste places.,Forb/herb,Perennial,,,Linaria vulgaris Mill.,Mill.,,
spicebush,Lindera benzoin,Lauraceae,Lindera,benzoin,Y,,6,N,Y,Vascular,Floodplain forests. swamps. shrub swamps. wet woods. mesic forests. seeps in forests. and fens. Occurs in mesic to wet soils often but not always in at least partial shade. In some forest understories it can be the dominant species in the shrub layer.,Shrub,Perennial,,,Lindera benzoin (L.) Blume,(L.) Blume,,
short-stalked false pimpernel,Lindernia dubia var. dubia,Linderniaceae,Lindernia,dubia,Y,,6,N,Y,Vascular,Exposed soils of the draw down zones of the edges of rivers. streams. ponds. and lakes including brackish to fresh intertidal estuaries in gravelly to muddy saturated to wet-mesic soils.,Herbaceous,Biennial,,,Lindernia dubia (L.) Pennell var. dubia,(L.) Pennell,var. dubia,
twinflower,Linnaea borealis ssp. longiflora,Caprifoliaceae,Linnaea,borealis,Y,,9,N,Y,Vascular,Hummocks in cool swamps; on mosses in thin soils and decaying logs; cool coniferous to mixed coniferous-deciduous forests; and roadsides. Linnaea borealis grows in both unshaded and shaded habitats as well as dry to wet sites. It is a more northern plant that is more common in the northern and cooler parts of NY and is more restricted in distribution in the warmer parts of the state.,Forb/herb,Perennial,,,Linnaea borealis L. ssp. longiflora (Torr.) Piper & Beattie,L.,ssp. longiflora,(Torr.) Piper & Beattie
Texas wild flax,Linum medium var. texanum,Linaceae,Linum,medium,Y,,4,N,Y,Vascular,,Herbaceous,Perennial,Threatened-State,,Linum medium (Planch.) Britton var. texanum (Planch.) Fernald,(Planch.) Britton,var. texanum,(Planch.) Fernald
grooved yellow flax,Linum sulcatum,Linaceae,Linum,sulcatum,Y,,5,N,Y,Vascular,,Forb/herb,Annual,Threatened-State,,Linum sulcatum Riddell,Riddell,,
cultivated flax,Linum usitatissimum,Linaceae,Linum,usitatissimum,N,Y,,N,Y,Vascular,,Forb/herb,Annual,,,Linum usitatissimum L.,L.,,
slender yellow flax,Linum virginianum,Linaceae,Linum,virginianum,Y,,4,N,Y,Vascular,Openings in forests. edges of forests. and dirt roads through forests on non-weedy roadsides on dry to dry-mesic thin soils.,Forb/herb,Perennial,,,Linum virginianum L.,L.,,
Loesel s twayblade,Liparis loeselii,Orchidaceae,Liparis,loeselii,Y,,8,N,Y,Vascular,Rich fens. calcareous peaty swamps. and mucky seepages. Open and forested habitats in permanently saturated soils. It often grows in mucky or peaty soils and perhaps does best where the adjacent herbaceous vegetation is sparse.,Forb/herb,Perennial,,,Liparis loeselii (L.) Rich.,(L.) Rich.,,
tulip tree. tulip poplar. yellow poplar,Liriodendron tulipifera,Magnoliaceae,Liriodendron,tulipifera,Y,,6,N,Y,Vascular,Mesic to wet-mesic hardwood forests. In all but the most southern parts of New York this tree is often an indicator of deep rich mesic circumneutral soils growing primarily in valley bottoms (excluding the lowest floodplains) and on lower slopes. In the most southern parts of the state it also grows in more acidic drier sites and occurs in a wider array of forested habitats.,Tree,Perennial,,,Liriodendron tulipifera L.,L.,,
American gromwell,Lithospermum latifolium,Boraginaceae,Lithospermum,latifolium,Y,,8,N,Y,Vascular,Bottomland forests and rich deciduous forests in mesic to dry-mesic often calcareous soils.,Forb/herb,Perennial,,,Lithospermum latifolium Michx.,Michx.,,
shaggy marbleseed,Lithospermum parviflorum,Boraginaceae,Lithospermum,parviflorum,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,,,Lithospermum parviflorum Weakley. Witsell & D. Estes,Weakley. Witsell & D. Estes,,
Virginia marbleseed,Lithospermum virginianum,Boraginaceae,Lithospermum,virginianum,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Lithospermum virginianum L.,L.,,
cardinal flower,Lobelia cardinalis,Campanulaceae,Lobelia,cardinalis,Y,,7,N,Y,Vascular,Marshes. swamps. wet thickets. gravely stream banks. margins of drainages. edges of ponds including marl ponds. and wet ledges. Occurs in both shaded and unshaded sites almost always in saturated to wet-mesic soils.,Forb/herb,Perennial,,,Lobelia cardinalis L.,L.,,
Indian tobacco,Lobelia inflata,Campanulaceae,Lobelia,inflata,Y,,1,N,Y,Vascular,Dirt and logging roads; cut forests. forest clearings. and thin forests; and gravel bars of streams and disturbed areas. Often along paths. on tip up mounds. or other disturbed soils in mesic to dry-mesic forested sites. Occasionally in drier sites.,Forb/herb,Annual,,,Lobelia inflata L.,L.,,
Kalm s lobelia,Lobelia kalmii,Campanulaceae,Lobelia,kalmii,Y,,8,N,Y,Vascular,Wet calcareous cliffs; gravelly and peaty banks of streams and ponds; and fens and other calcareous wet sites. Lobelia kalmii is a small plant and it grows best where the adjacent herbaceous vegetation is low. It grows almost exclusively in calcareous wet sites.,Forb/herb,Perennial,,,Lobelia kalmii L.,L.,,
great blue lobelia,Lobelia siphilitica var. siphilitica,Campanulaceae,Lobelia,siphilitica,Y,,5,N,Y,Vascular,Seepage areas. stream margins. fens. ditches. and drainage channels; wet thickets and forests; swamps and seepy road banks. Does particularly well in calcareous seepage areas.,Forb/herb,Perennial,,,Lobelia siphilitica L. var. siphilitica,L.,var. siphilitica,
Italian rye grass,Lolium perenne ssp. multiflorum,Poaceae,Lolium,perenne,N,Y,,N,Y,Vascular,,Graminoid,,,,Lolium perenne L. ssp. multiflorum (Lam.) Husn.,L.,ssp. multiflorum,(Lam.) Husn.
perennial rye grass,Lolium perenne ssp. perenne,Poaceae,Lolium,perenne,N,Y,,N,Y,Vascular,Roadsides. disturbed soils. successional fields. pastures. and hayfields. Often used in grass seed mixes for stabilization of exposed soils.,Graminoid,,,,Lolium perenne L. ssp. perenne,L.,ssp. perenne,
poison darnel,Lolium temulentum ssp. temulentum,Poaceae,Lolium,temulentum,N,U,,N,Y,Vascular,,Graminoid,Annual,,,Lolium temulentum L. ssp. temulentum,L.,ssp. temulentum,
American fly honeysuckle,Lonicera canadensis,Caprifoliaceae,Lonicera,canadensis,Y,,8,N,Y,Vascular,Cool forests. forested or cool stream banks. and ledges. More common in cooler parts of NY as a general understory shrub in forests. In warmer parts of NY. it is more restricted to cooler sites.,Shrub,Perennial,,,Lonicera canadensis Bartram ex Marshall,Bartram ex Marshall,,
smooth-leaved honeysuckle,Lonicera dioica,Caprifoliaceae,Lonicera,dioica,Y,,6,N,Y,Vascular,Rocky thin forested slopes. forest edges. talus slopes. ledges. and thickets. A thin rather small vine becoming more robust in full sun.,Shrub,Perennial,,,Lonicera dioica L.,L.,,
swamp fly honeysuckle,Lonicera oblongifolia,Caprifoliaceae,Lonicera,oblongifolia,Y,,9,N,Y,Vascular,Rich fens. rich swamps. and rich wet shrublands. Usually thinly scattered throughout or occurring in only a few small patches at a particular site.,Shrub,Perennial,,,Lonicera oblongifolia Hook.,Hook.,,
Tartarian honeysuckle,Lonicera tatarica,Caprifoliaceae,Lonicera,tatarica,N,Y,,N,Y,Vascular,Thickets. roadsides. and edges of fields. Fairly uncommon in NY although the hybrid with L. morrowii (L. x bella) is common. Often misapplied to L. morrowii.,Shrub,Perennial,,,Lonicera tatarica L.,L.,,
water purslane,Ludwigia palustris,Onagraceae,Ludwigia,palustris,Y,,4,N,Y,Vascular,Edges of ponds. lakes. and streams; wet depressions. vernal pools. swamps. and marshes. Grows predominately in open sites where the soils are saturated to seasonally inundated and the adjacent herbaceous vegetation is not dense or tall. It does particularly well in open exposed muddy edges that result from water levels dropping. It can form dense extensive patches.,Forb/herb,Perennial,,,Ludwigia palustris (L.) Elliott,(L.) Elliott,,
wild lupine. sundial lupine,Lupinus perennis ssp. perennis,Fabaceae,Lupinus,perennis,Y,,7,N,Y,Vascular,Pine barrens. sandy open barrens. acidic oak dominated forests. bluffs. roadsides through forests. and edges of forests. This species does well with a relatively frequent fire regime. It may be decreasing in abundance as fires are prevented. In forested habitats. it often grows where Quercus montana and ericaceous shrubs are dominant.,Forb/herb,Perennial,Rare-State,,Lupinus perennis L. ssp. perennis,L.,ssp. perennis,
hairy wood rush,Luzula acuminata var. acuminata,Juncaceae,Luzula,acuminata,Y,,7,N,Y,Vascular,Mesic forests and edges of forests.,Graminoid,Perennial,,,Luzula acuminata Raf. var. acuminata,Raf.,var. acuminata,
common wood rush,Luzula multiflora ssp. multiflora,Juncaceae,Luzula,multiflora,Y,,5,N,Y,Vascular,Mesic forests. pastures. hayfields. and successional fields.,Graminoid,Perennial,,,Luzula multiflora (Ehrh.) Lej. ssp. multiflora,(Ehrh.) Lej.,ssp. multiflora,
rose campion. mullein pink,Lychnis coronaria,Caryophyllaceae,Lychnis,coronaria,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Lychnis coronaria (L.) Desr.,(L.) Desr.,,
common matrimony vine,Lycium barbarum,Solanaceae,Lycium,barbarum,N,Y,,N,Y,Vascular,,Vine. Shrub,Perennial,,,Lycium barbarum L.,L.,,
staghorn clubmoss,Lycopodium clavatum,Lycopodiaceae,Lycopodium,clavatum,Y,,5,N,Y,Vascular,Dry to mesic forests. forest openings. forest edges. and sometimes in more open sites in thin acidic soils. Also occasionally in mosses on edges of swamps and marshes. Does well in successional forests and in disturbed soils that become colonized by mosses.,Subshrub. Shrub,Perennial,,,Lycopodium clavatum L.,L.,,
American bugleweed. American water horehound,Lycopus americanus,Lamiaceae,Lycopus,americanus,Y,,4,N,Y,Vascular,Marshes. swamps. and edges of ponds and streams. Common in a large variety of wetlands.,Forb/herb,Perennial,,,Lycopus americanus Muhl. ex W.P.C. Barton,Muhl. ex W.P.C. Barton,,
western bugleweed. western water horehound,Lycopus asper,Lamiaceae,Lycopus,asper,N,U,,N,Y,Vascular,,Forb/herb,Perennial,,,Lycopus asper Greene,Greene,,
European bugleweed. European water horehound,Lycopus europaeus,Lamiaceae,Lycopus,europaeus,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Lycopus europaeus L.,L.,,
stalked bugleweed. stalked water horehound,Lycopus rubellus,Lamiaceae,Lycopus,rubellus,Y,,3,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Lycopus rubellus Moench,Moench,,
northern bugleweed. northern water horehound,Lycopus uniflorus,Lamiaceae,Lycopus,uniflorus,Y,,4,N,Y,Vascular,Marshes. swamps. damp shores. ditches. and elsewhere. Common in a large variety of wetlands.,Forb/herb,Perennial,,,Lycopus uniflorus Michx.,Michx.,,
Virginia bugleweed. Virginia water horehound,Lycopus virginicus,Lamiaceae,Lycopus,virginicus,Y,,4,N,Y,Vascular,,Forb/herb,Perennial,,,Lycopus virginicus L.,L.,,
starflower,Lysimachia borealis,Primulaceae,Lysimachia,borealis,Y,,6,N,Y,Vascular,Cool northern hardwood and mixed hardwood-coniferous forests. Also in peatlands. Often in acidic soils.,Forb/herb,Perennial,,,Lysimachia borealis (Raf.) U. Manns & Anderb.,(Raf.) U. Manns & Anderb.,,
fringed loosestrife,Lysimachia ciliata,Primulaceae,Lysimachia,ciliata,Y,,4,N,Y,Vascular,Fens. swamps. marshes. ditches. and wet thickets.,Herbaceous,Perennial,,,Lysimachia ciliata L.,L.,,
moneywort. creeping Jenny,Lysimachia nummularia,Primulaceae,Lysimachia,nummularia,N,Y,,N,Y,Vascular,Thickets. successional forests. low forests. and swamps generally in wet to wet-mesic soils in shaded to partly shaded habitats. It does particularly well in compacted and high pH soils.,Forb/herb,Perennial,,,Lysimachia nummularia L.,L.,,
linear-leaved loosestrife,Lysimachia quadriflora,Primulaceae,Lysimachia,quadriflora,Y,,10,N,Y,Vascular,,Forb/herb,Perennial,Endangered-State,,Lysimachia quadriflora Sims,Sims,,
whorled loosestrife,Lysimachia quadrifolia,Primulaceae,Lysimachia,quadrifolia,Y,,6,N,Y,Vascular,Acidic dry-mesic to mesic hardwood forests and forest edges. Sometimes it grows in more open sites but generally it is a forest herb.,Forb/herb,Perennial,,,Lysimachia quadrifolia L.,L.,,
elongated loosestrife,Lysimachia quadrifolia  x L. terrestris = L.  xproducta,Primulaceae,Lysimachia,quadrifolia x L. terrestris = L. xproducta,Y,,,N,Y,Vascular,,Forb/herb,Perennial,,,Lysimachia quadrifolia  x L. terrestris = L.  xproducta (A. Gray) Fernald,(A. Gray) Fernald,,
swamp candles,Lysimachia terrestris,Primulaceae,Lysimachia,terrestris,Y,,7,N,Y,Vascular,Marshes. peatlands. ponds. lakes. slow moving stream edges. and ditches in shallow water or occasionally on only saturated soils.,Forb/herb,Perennial,,,Lysimachia terrestris (L.) Britton. Sterns & Poggenb.,(L.) Britton. Sterns & Poggenb.,,
tufted loosestrife,Lysimachia thyrsiflora,Primulaceae,Lysimachia,thyrsiflora,Y,,7,N,Y,Vascular,Marshes and swamps often in relatively small populations that are not dense. Plants sometimes grow with dense herbaceous cover.,Forb/herb,Perennial,,,Lysimachia thyrsiflora L.,L.,,
garden loosestrife,Lysimachia vulgaris,Primulaceae,Lysimachia,vulgaris,N,Y,,N,Y,Vascular,,Herbaceous,Perennial,,,Lysimachia vulgaris L.,L.,,
winged loosestrife,Lythrum alatum var. alatum,Lythraceae,Lythrum,alatum,Y,,2,N,Y,Vascular,,Herbaceous,Perennial,,,Lythrum alatum Pursh var. alatum,Pursh,var. alatum,
purple loosestrife,Lythrum salicaria,Lythraceae,Lythrum,salicaria,N,Y,,N,Y,Vascular,Marshes. openings in swamps. rich fens. channels. ditches; edges of ponds. lakes. and streams; and gravel and sand bars in streams. Highly invasive and often becoming the dominant herbaceous plant in various wetland types but usually most abundant in marshes and disturbed wet sites. With the release of some insects as biocontrol. populations may start to decrease in abundance.,Herbaceous,Perennial,,,Lythrum salicaria L.,L.,,
Osage orange,Maclura pomifera,Moraceae,Maclura,pomifera,N,Y,,N,Y,Vascular,Occasionally cultivated and rarely naturalizing to hedge rows. successional forests. and thickets.,Tree. Shrub,Perennial,,,Maclura pomifera (Raf.) C.K. Schneid.,(Raf.) C.K. Schneid.,,
cucumber tree. cucumber magnolia,Magnolia acuminata,Magnoliaceae,Magnolia,acuminata,Y,,7,N,Y,Vascular,Mesic forests sometimes in deep rich and/or calcareous soils. Occasionally in dry-mesic or wet-mesic soils. It often occurs sparsely distributed and does not become a dominant tree in New York.,Tree,Perennial,,,Magnolia acuminata (L.) L.,(L.) L.,,
Canada mayflower,Maianthemum canadense,Asparagaceae,Maianthemum,canadense,Y,,5,N,Y,Vascular,Mesic hardwood. coniferous. and hardwood-coniferous forests; and hummocks in swamps. It does particularly well in cool northern forests where it can be the dominant herbaceous plant.,Forb/herb,Perennial,,,Maianthemum canadense Desf.,Desf.,,
false Solomon s seal,Maianthemum racemosum,Asparagaceae,Maianthemum,racemosum,Y,,6,N,Y,Vascular,Mesic hardwood and hardwood-coniferous forests. Widespread and common in a variety of forest types but perhaps absent from the drier most acidic sites.,Forb/herb,Perennial,,,Maianthemum racemosum (L.) Link,(L.) Link,,
starry Solomon s seal,Maianthemum stellatum,Asparagaceae,Maianthemum,stellatum,Y,,7,N,Y,Vascular,Alluvial forests. mesic to wet forests. edges of marly ponds. and fens. Somewhat local in parts of New York. Perhaps preferring calcareous or deep rich wet-mesic or seasonally wet soils.,Forb/herb,Perennial,,,Maianthemum stellatum (L.) Link,(L.) Link,,
three-leaved Solomon s seal,Maianthemum trifolium,Asparagaceae,Maianthemum,trifolium,Y,,10,N,Y,Vascular,Wet peaty acidic soils. Bogs and wet springy forests in cool sites.,Forb/herb,Perennial,,,Maianthemum trifolium (L.) Sloboda,(L.) Sloboda,,
North American white adder s mouth,Malaxis monophyllos var. brachypoda,Orchidaceae,Malaxis,monophyllos,Y,,10,N,Y,Vascular,,Herbaceous,Perennial,,,Malaxis monophyllos (L.) Sw. var. brachypoda (A. Gray) F. Morris & E.A. Eames,(L.) Sw.,var. brachypoda,(A. Gray) F. Morris & E.A. Eames
wild crab apple,Malus coronaria,Rosaceae,Malus,coronaria,Y,,2,N,Y,Vascular,Thickets. hedgerows. forest edges. pastures. and successional fields. This taxon can also be found dying in successional forests.,Tree. Shrub,Perennial,,,Malus coronaria (L.) Mill.,(L.) Mill.,,
cultivated apple,Malus domestica,Rosaceae,Malus,domestica,N,Y,,N,Y,Vascular,Thickets. hedgerows. successional forests. forest edges. openings in forests. successional fields. pastures. and roadsides.,Tree,Perennial,,,Malus domestica (Suckow) Borkh.,(Suckow) Borkh.,,
vervain mallow,Malva alcea,Malvaceae,Malva,alcea,N,U,,N,Y,Vascular,,Forb/herb,Perennial,,,Malva alcea L.,L.,,
musk mallow,Malva moschata,Malvaceae,Malva,moschata,N,Y,,N,Y,Vascular,Pastures. successional fields. cultivated ground. roadsides. disturbed soils. and waste places.,Forb/herb,Perennial,,,Malva moschata L.,L.,,
whorled mallow,Malva verticillata,Malvaceae,Malva,verticillata,N,N,,N,Y,Vascular,,Forb/herb,,,,Malva verticillata L.,L.,,
white horehound,Marrubium vulgare,Lamiaceae,Marrubium,vulgare,N,U,,N,Y,Vascular,,Herbaceous,Perennial,,,Marrubium vulgare L.,L.,,
German chamomile,Matricaria chamomilla,Asteraceae,Matricaria,chamomilla,N,U,,N,Y,Vascular,,Forb/herb,Annual,,,Matricaria chamomilla L.,L.,,
pineapple weed,Matricaria discoidea,Asteraceae,Matricaria,discoidea,N,Y,,N,Y,Vascular,Barnyards and corrals. pastures. cultivated ground. successional fields. disturbed areas. waste places. and roadsides. A fairly common non-native weedy plant it appears to do best in highly disturbed situations.,Forb/herb,Annual,,,Matricaria discoidea DC.,DC.,,
ostrich fern,Matteuccia struthiopteris var. pensylvanica,Onocleaceae,Matteuccia,struthiopteris,Y,,5,N,Y,Vascular,Primarily a species of floodplain forests. Also. shores of streams. rich mesic forests. and less frequently swamps.,Fern,Perennial,,,Matteuccia struthiopteris (L.) Tod. var. pensylvanica (Willd.) C.V. Morton,(L.) Tod.,var. pensylvanica,(Willd.) C.V. Morton
Indian cucumber root,Medeola virginiana,Liliaceae,Medeola,virginiana,Y,,7,N,Y,Vascular,Mesic to wet-mesic hardwood. coniferous. and hardwood-coniferous forests. Occurs primarily in cool northern forests.,Forb/herb,Perennial,,,Medeola virginiana L.,L.,,
black medic,Medicago lupulina,Fabaceae,Medicago,lupulina,N,Y,,N,Y,Vascular,Successional fields. roadsides. disturbed soils. and waste places. A ubiquitous weed of open habitats.,Herbaceous,Annual,,,Medicago lupulina L.,L.,,
alfalfa,Medicago sativa,Fabaceae,Medicago,sativa,N,Y,,N,Y,Vascular,"Cultivated for ""hay"" it also naturalizes to successional fields. pastures. roadsides. and disturbed soils.",Herbaceous,Annual,,,Medicago sativa L.,L.,,
cow wheat,Melampyrum lineare,Orobanchaceae,Melampyrum,lineare,Y,,7,N,Y,Vascular,,Herbaceous,Annual,,,Melampyrum lineare Desr.,Desr.,,
white sweet clover,Melilotus albus,Fabaceae,Melilotus,albus,N,Y,,N,Y,Vascular,Roadsides. disturbed soils. cobble and gravel bars in streams. and waste places.,Forb/herb,Biennial,,,Melilotus albus Medik.,Medik.,,
tall yellow sweet clover,Melilotus altissimus,Fabaceae,Melilotus,altissimus,N,Y,,N,Y,Vascular,,Forb/herb,Biennial,,,Melilotus altissimus Thuill.,Thuill.,,
yellow sweet clover,Melilotus officinalis,Fabaceae,Melilotus,officinalis,N,Y,,N,Y,Vascular,Roadsides. disturbed soils. cobble and gravel bars in streams. and waste places.,Herbaceous,Biennial,,,Melilotus officinalis (L.) Lam.,(L.) Lam.,,
lemonbalm,Melissa officinalis,Lamiaceae,Melissa,officinalis,N,Y,,N,Y,Vascular,Cultivated. persisting. and slightly naturalizing. Disturbed areas. edges of forests. and fields.,Forb/herb,Perennial,,,Melissa officinalis L.,L.,,
moonseed,Menispermum canadense,Menispermaceae,Menispermum,canadense,Y,,6,N,Y,Vascular,Floodplain forests and thickets. and rich forests over calcareous soils or bedrock. Most abundant on valley bottoms and lower slopes.,Vine. Subshrub,Perennial,,,Menispermum canadense L.,L.,,
peppermint,Mentha aquatica  x M. spicata = M.  xpiperita,Lamiaceae,Mentha,aquatica x M. spicata = M. xpiperita,N,Y,,N,Y,Vascular,Roadsides. shores of ponds and lakes. and disturbed soils.,Forb/herb,Perennial,,,Mentha aquatica  x M. spicata = M.  xpiperita L.,L.,,
field mint,Mentha arvensis,Lamiaceae,Mentha,arvensis,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Mentha arvensis L.,L.,,
Scotch spearmint,Mentha arvensis  x M. spicata = M.  xgracilis,Lamiaceae,Mentha,arvensis x M. spicata = M. xgracilis,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Mentha arvensis  x M. spicata = M.  xgracilis Sole,Sole,,
American wild mint,Mentha canadensis,Lamiaceae,Mentha,canadensis,Y,,4,N,Y,Vascular,Marshes. wet thickets. and stream banks. Often grows in somewhat weedy thickets.,Forb/herb,,,,Mentha canadensis L.,L.,,
false apple mint,Mentha longifolia  x M. suaveolens = M.  xrotundifolia,Lamiaceae,Mentha,longifolia x M. suaveolens = M. xrotundifolia,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Mentha longifolia  x M. suaveolens = M.  xrotundifolia (L.) Huds.,(L.) Huds.,,
spearmint,Mentha spicata ssp. spicata,Lamiaceae,Mentha,spicata,N,Y,,N,Y,Vascular,,Forb/herb,Perennial,,,Mentha spicata L. ssp. spicata,L.,ssp. spicata,
buckbean,Menyanthes trifoliata,Menyanthaceae,Menyanthes,trifoliata,Y,,9,N,Y,Vascular,Bogs. poor to rich fens. rich swamps. and cool springy forests. Often in inundated soils and sometimes at the edge of ponds or streams in the habitats mentioned.,Forb/herb,,,,Menyanthes trifoliata L.,L.,,
eastern bluebells,Mertensia virginica,Boraginaceae,Mertensia,virginica,Y,,7,N,Y,Vascular,Floodplain and bottomland forests and thickets. low rich forests. and stream banks. Also cultivated.,Forb/herb,Perennial,,,Mertensia virginica (L.) Pers. ex Link,(L.) Pers. ex Link,,
swamp saxifrage,Micranthes pensylvanica,Saxifragaceae,Micranthes,pensylvanica,Y,,9,N,Y,Vascular,Low areas in swamps and wet forests with mucky saturated soils.,Forb/herb,Perennial,,,Micranthes pensylvanica (L.) Haw.,(L.) Haw.,,
early saxifrage,Micranthes virginiensis,Saxifragaceae,Micranthes,virginiensis,Y,,7,N,Y,Vascular,Wet to mesic to seasonally dry rock outcrops and ledges; and thin soils on bluffs and in forest openings. Generally associated with rocks and often in areas that are at least seasonally seepy.,Forb/herb,Perennial,,,Micranthes virginiensis (Michx.) Small,(Michx.) Small,,
millet grass,Milium effusum var. cisatlanticum,Poaceae,Milium,effusum,Y,,8,N,Y,Vascular,Rich cool northern hardwood forests often in calcareous soils.,Graminoid,Perennial,,,Milium effusum L. var. cisatlanticum Fernald,L.,var. cisatlanticum,Fernald
winged monkey flower,Mimulus alatus,Phrymaceae,Mimulus,alatus,Y,,6,N,Y,Vascular,Fresh to brackish shores of rivers and streams; floodplain forests and thickets.,Forb/herb,Perennial,Rare-State,,Mimulus alatus (Soland.) Aiton,(Soland.) Aiton,,
Allegheny monkey flower,Mimulus ringens,Phrymaceae,Mimulus,ringens,Y,,6,N,Y,Vascular,Marshes. wet thickets. ditches. edges of streams. pond and lake margins. and gravel and sand bars in streams. Predominately in non-shaded habitats.,Forb/herb,Perennial,,,Mimulus ringens L.,L.,,
heart-leaved umbrella wort,Mirabilis nyctaginea,Nyctaginaceae,Mirabilis,nyctaginea,N,Y,,N,Y,Vascular,Thickets. disturbed soils. and waste places. Fairly rare.,Forb/herb,Perennial,,,Mirabilis nyctaginea (Michx.) MacMill.,(Michx.) MacMill.,,
partridge berry,Mitchella repens,Rubiaceae,Mitchella,repens,Y,,6,N,Y,Vascular,Tsuga canadensis dominated forests with sparse herbaceous vegetation; other mesic forest types; and coastal oak forests in dry-mesic to mesic sandy soils.,Herbaceous,Perennial,,,Mitchella repens L.,L.,,
two-leaved mitrewort. two-leaved bishop s cap,Mitella diphylla,Saxifragaceae,Mitella,diphylla,Y,,8,N,Y,Vascular,Rich mesic forests. forested seeps. edges of swamps. and sometimes on hummocks in swamps. Generally in shaded habitats in deep rich soils of valley bottoms or lower slopes.,Herbaceous,Perennial,,,Mitella diphylla L.,L.,,
naked mitrewort. naked bishop s cap,Mitella nuda,Saxifragaceae,Mitella,nuda,Y,,9,N,Y,Vascular,Cool northern hardwood to coniferous forests and swamps. Often in dense moss cover on wet to wet-mesic soils. A northern species that is most common in the northern and cooler parts of New York.,Forb/herb,Perennial,,,Mitella nuda L.,L.,,
